Place,Time,Marking
IDLE(0),1.01,1
IDLE(0),1.06,2
IDLE(0),1.1,3
IDLE(0),1.73,4
SENDING PACKET(0),2.17,1
IDLE(0),2.17,3
IDLE(0),2.35,4
PACKET CHECK(0),2.42,1
LOOP(Q11),2.42,1
SENDING PACKET(0),2.42,0
SENDING ACK(0),2.46,1
PACKET CHECK(0),2.46,0
SENDING PACKET(0),2.58,1
LOOP(Q11),2.58,0
SENDING PACKET(0),3.0,2
IDLE(0),3.0,3
IDLE(0),3.03,4
IDLE(0),3.06,5
PACKET CHECK(0),3.17,1
LOOP(Q11),3.17,1
SENDING PACKET(0),3.17,1
IDLE(0),3.19,6
SENDING PACKET(0),3.27,2
LOOP(Q11),3.27,0
IDLE(0),3.3,7
SENDING PACKET(0),3.45,3
IDLE(0),3.45,6
SENDING PACKET(0),3.47,4
IDLE(0),3.47,5
ACK CHECK(0),3.5,1
LOOP(Q13),3.5,1
SENDING ACK(0),3.5,0
SENDING PACKET(0),3.58,5
LOOP(Q13),3.58,0
IDLE(1),3.7,1
ACK CHECK(0),3.7,0
SENDING PACKET(1),3.87,1
IDLE(1),3.87,0
PACKET CHECK(1),3.89,1
LOOP(Q16),3.89,1
SENDING PACKET(1),3.89,0
SENDING ACK(1),4.0,1
PACKET CHECK(1),4.0,0
SENDING ACK(0),4.01,1
PACKET CHECK(0),4.01,0
SENDING PACKET(1),4.08,1
LOOP(Q16),4.08,0
SENDING PACKET(0),4.16,6
IDLE(0),4.16,4
PACKET CHECK(0),4.19,1
LOOP(Q11),4.19,1
SENDING PACKET(0),4.19,5
SENDING PACKET(0),4.23,6
LOOP(Q11),4.23,0
PACKET CHECK(0),4.23,2
LOOP(Q11),4.23,1
SENDING PACKET(0),4.23,5
ACK CHECK(0),4.47,1
LOOP(Q13),4.47,1
SENDING ACK(0),4.47,0
PACKET CHECK(0),4.51,3
LOOP(Q11),4.51,2
SENDING PACKET(0),4.51,4
PACKET CHECK(0),4.52,4
LOOP(Q11),4.52,3
SENDING PACKET(0),4.52,3
SENDING PACKET(0),4.57,4
LOOP(Q11),4.57,2
PACKET CHECK(1),4.61,1
LOOP(Q16),4.61,1
SENDING PACKET(1),4.61,0
ACK CHECK(1),4.64,1
LOOP(Q18),4.64,1
SENDING ACK(1),4.64,0
SENDING PACKET(0),4.71,5
IDLE(0),4.71,3
SENDING PACKET(0),4.75,6
LOOP(Q11),4.75,1
SENDING ACK(1),4.76,1
PACKET CHECK(1),4.76,0
IDLE(0),4.79,4
PACKET CHECK(0),4.8,5
LOOP(Q11),4.8,2
SENDING PACKET(0),4.8,5
SENDING PACKET(0),4.86,6
LOOP(Q13),4.86,0
SENDING PACKET(0),4.9,7
LOOP(Q11),4.9,1
PACKET CHECK(0),4.91,6
LOOP(Q11),4.91,2
SENDING PACKET(0),4.91,6
SENDING PACKET(1),4.95,1
SENDING PACKET(1),4.95,2
LOOP(Q18),4.95,0
PACKET CHECK(1),4.98,1
LOOP(Q16),4.98,2
SENDING PACKET(1),4.98,1
SENDING ACK(0),5.0,1
PACKET CHECK(0),5.0,5
